model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_8relu-16relu_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",relu,relu,softmax,15,0.05169525742530823,0.9853333234786987,0.052120454609394073,0.982200026512146
"conv_8relu-16softmax_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",relu,softmax,relu,3,2.301815986633301,0.09933333098888397,2.3019001483917236,0.09830000251531601
"conv_8softmax-16relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",softmax,relu,relu,4,2.3025832176208496,0.30300000309944153,2.3021304607391357,0.0982000008225441
"conv_8relu-16softmax_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",relu,softmax,softmax,12,0.055719565600156784,0.984333336353302,0.05431155487895012,0.9821000099182129
"conv_8softmax-16relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",softmax,relu,relu,4,1.8425335884094238,0.480777770280838,1.8742198944091797,0.2816999852657318
"conv_8softmax-16softmax_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",softmax,softmax,relu,4,0.9143630862236023,0.8643333315849304,1.0405030250549316,0.859000027179718
"conv_8softmax-16softmax_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",softmax,softmax,softmax,8,0.05845971032977104,0.9825555682182312,0.05534955486655235,0.9818999767303467
"conv_8relu-16relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",relu,relu,relu,3,2.229344606399536,0.1348888874053955,2.2167346477508545,0.13989999890327454
"conv_8relu-16relu_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",relu,relu,softmax,13,0.050880443304777145,0.9854444265365601,0.04713434725999832,0.9850000143051147
"conv_8relu-16softmax_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",relu,softmax,relu,3,2.0627145767211914,0.2043333351612091,2.0678372383117676,0.20399999618530273
"conv_8softmax-16relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",softmax,relu,relu,4,2.3018157482147217,0.39677777886390686,2.3033759593963623,0.0982000008225441
"conv_8relu-16softmax_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",relu,softmax,softmax,15,0.03890923410654068,0.9902222156524658,0.043013252317905426,0.9865000247955322
"conv_8softmax-16relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",softmax,relu,relu,4,1.7938518524169922,0.4721111059188843,1.8146440982818604,0.2791999876499176
"conv_8softmax-16softmax_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",softmax,softmax,relu,5,0.7780088782310486,0.8847777843475342,0.8223970532417297,0.8784000277519226
"conv_8softmax-16softmax_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,8,16,"(3, 3)","(2, 2)",softmax,softmax,softmax,11,0.04851144179701805,0.9861111044883728,0.04717138409614563,0.9853000044822693
"conv_8relu-16relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",relu,relu,relu,4,1.4025927782058716,0.7052222490310669,1.4977219104766846,0.6717000007629395
"conv_8relu-16relu_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",relu,relu,softmax,13,0.04274136200547218,0.9875555634498596,0.0354447066783905,0.9882000088691711
"conv_8relu-16softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",relu,softmax,relu,4,1.1867318153381348,0.8183333277702332,1.2686289548873901,0.8108999729156494
"conv_8softmax-16relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",softmax,relu,relu,4,1.1493672132492065,0.8292222023010254,1.3103208541870117,0.8108999729156494
"conv_8relu-16softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",relu,softmax,softmax,8,0.04805021733045578,0.9858888983726501,0.04845939949154854,0.9847000241279602
"conv_8softmax-16relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",softmax,relu,relu,4,1.8740956783294678,0.7036666870117188,1.8845503330230713,0.2874000072479248
"conv_8softmax-16softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",softmax,softmax,relu,3,1.7742339372634888,0.5438888669013977,1.867613673210144,0.5318999886512756
"conv_8softmax-16softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,8,16,"(4, 4)","(3, 3)",softmax,softmax,softmax,15,0.03725038468837738,0.9900000095367432,0.03311851993203163,0.9890000224113464
"conv_8relu-16relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",relu,relu,relu,3,1.6108760833740234,0.6742222309112549,1.6222435235977173,0.6606000065803528
"conv_8relu-16relu_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",relu,relu,softmax,9,0.04261048883199692,0.9878888726234436,0.04091064631938934,0.9865000247955322
"conv_8relu-16softmax_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",relu,softmax,relu,3,2.0673470497131348,0.6347777843475342,2.1223204135894775,0.6309000253677368
"conv_8softmax-16relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",softmax,relu,relu,4,2.296588659286499,0.39266666769981384,2.2966039180755615,0.1005999967455864
"conv_8relu-16softmax_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",relu,softmax,softmax,20,0.034869495779275894,0.9907777905464172,0.03118097223341465,0.9897000193595886
"conv_8softmax-16relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",softmax,relu,relu,4,2.112081289291382,0.42133334279060364,2.127912759780884,0.1768999993801117
"conv_8softmax-16softmax_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",softmax,softmax,relu,4,0.9724156856536865,0.8295555710792542,0.9976451396942139,0.8264999985694885
"conv_8softmax-16softmax_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,8,16,"(5, 5)","(3, 3)",softmax,softmax,softmax,18,0.03455667570233345,0.9894444346427917,0.03068580850958824,0.9907000064849854
"conv_8relu-16relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",relu,relu,relu,7,1.3218350410461426,0.7965555787086487,1.4015122652053833,0.6043999791145325
"conv_8relu-16relu_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",relu,relu,softmax,13,0.03871389478445053,0.9893333315849304,0.03782156482338905,0.9879999756813049
"conv_8relu-16softmax_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,8,16,"(5, 5)","(4, 4)",relu,softmax,relu,3,1.2344862222671509,0.8265555500984192,1.2851953506469727,0.8115000128746033
